_id,Codice_IPA,Denominazione_ente,Tipologia,homepage_status,framework_primario,framework_secondari,cms_primario,ui_frameworks,confidence,js_count,css_count,evidenze_count
3047,c_b595,Comune di Orvinio,Pubbliche Amministrazioni,ok,WordPress,"React,jQuery",WordPress,Bootstrap Italia,high,24,5,33
3048,c_b597,Comune di Canepina,Pubbliche Amministrazioni,ok,,,,Bootstrap Italia,low,2,1,2
3049,c_b598,Comune di Caneva,Pubbliche Amministrazioni,ok,,"React,jQuery",,Bootstrap Italia,low,9,2,5
3050,c_b602,Comune di Canicatti',Pubbliche Amministrazioni,error,,,,,low,0,0,0
3051,c_b603,Comune di Canicattini Bagni,Pubbliche Amministrazioni,ok,,,,Bootstrap Italia,low,5,3,1
3052,c_b604,Comune di Canino,Pubbliche Amministrazioni,ok,,,,Bootstrap Italia,low,6,5,2
3053,C_B605,Comune di Canischio,Pubbliche Amministrazioni,ok,ASP.NET,"React,jQuery",,Bootstrap Italia,medium,3,4,8
3054,c_b606,Comune di Canistro,Pubbliche Amministrazioni,error,,,,,low,0,0,0
3055,c_b607,Comune di Canna,Pubbliche Amministrazioni,ok,ASP.NET,,,Bootstrap,high,14,10,5
3056,c_b608,Comune di Cannalonga,Pubbliche Amministrazioni,ok,ASP.NET,,,Bootstrap Italia,high,14,18,9
3057,c_b609,Comune di Cannara,Pubbliche Amministrazioni,ok,,Laravel,,Bootstrap Italia,low,6,7,4
3058,c_b610,Comune di Cannero Riviera,Pubbliche Amministrazioni,ok,WordPress,jQuery,WordPress,Bootstrap Italia,high,30,7,13
3059,c_b612,Comune di Canneto sull'Oglio,Pubbliche Amministrazioni,error,,,,,low,0,0,0
3060,c_b613,Comune di Canneto Pavese,Pubbliche Amministrazioni,ok,ASP.NET,,,Bootstrap Italia,medium,3,4,4
3061,c_b615,Comune di Cannobio,Pubbliche Amministrazioni,ok,WordPress,"React,jQuery",WordPress,Bootstrap Italia,high,29,7,33
3062,c_b616,Comune di Cannole,Pubbliche Amministrazioni,ok,WordPress,,WordPress,Bootstrap Italia,high,11,1,7
3063,c_b617,Comune di Canolo,Pubbliche Amministrazioni,ok,WordPress,jQuery,WordPress,Bootstrap Italia,high,13,8,10
3064,c_b618,Comune di Canonica d'Adda,Pubbliche Amministrazioni,error,,,,,low,0,0,0
3065,c_b619,Comune di Canosa di Puglia,Pubbliche Amministrazioni,error,,,,,low,0,0,0
