Codice_IPA,Denominazione_ente,Tipologia,framework_primario,framework_secondari,cms_primario,ui_frameworks,confidence,js_count,css_count,evidenze_count
c_d575,Comune di Fiesole,Pubbliche Amministrazioni,Drupal,"Angular,React,jQuery",Drupal,Bootstrap Italia,high,3,3,11
c_d621,Comune di Fiume Veneto,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
c_d700,Comune di Forgaria nel Friuli,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
c_d718,Comune di Forni Avoltri,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
c_d719,Comune di Forni di Sopra,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
c_d720,Comune di Forni di Sotto,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
c_d804,Comune di Frisanco,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
c_d897,Comune di Gambellara,Pubbliche Amministrazioni,Angular,"React,jQuery",,Bootstrap Italia,medium,10,0,11
c_d942,Comune di Gavello,Pubbliche Amministrazioni,Angular,React,,,medium,15,9,12
c_d962,Comune di Gemona del Friuli,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
c_e083,Comune di Gonars,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
c_e098,Comune di Gorizia,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
c_e113,Comune di Gosaldo,Pubbliche Amministrazioni,Angular,"React,jQuery",,Bootstrap Italia,medium,10,0,11
c_e125,Comune di Grado,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
c_e184,Comune di Grisignano di Zocco,Pubbliche Amministrazioni,Angular,"React,jQuery",,Bootstrap Italia,medium,10,0,11
c_e473,Comune di Latisana,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
c_e489,Comune di Lavagno,Pubbliche Amministrazioni,Angular,"React,jQuery",,Bootstrap Italia,medium,10,0,11
c_e522,Comune di Lendinara,Pubbliche Amministrazioni,Angular,"React,jQuery",,Bootstrap Italia,medium,10,0,11
c_e553,Comune di Lestizza,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
c_e684,Comune di Loreggia,Pubbliche Amministrazioni,Angular,"React,jQuery",,Bootstrap Italia,medium,10,0,11
c_e709,Comune di Lozzo Atestino,Pubbliche Amministrazioni,Angular,"React,jQuery",,Bootstrap Italia,medium,10,0,11
c_e833,Comune di Majano,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
c_e847,Comune di Malborghetto Valbruna,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
c_e864,Comune di Malo,Pubbliche Amministrazioni,Angular,"React,jQuery",,Bootstrap Italia,medium,10,0,11
c_e889,Comune di Maniago,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
c_e910,Comune di Marano Lagunare,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
c_e952,Comune di Mariano del Friuli,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
c_e982,Comune di Martignacco,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
c_f012,Comune di Maserada sul Piave,Pubbliche Amministrazioni,Angular,"React,jQuery",,Bootstrap Italia,medium,10,0,11
c_f081,Comune di Medea,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
c_f089,Comune di Meduno,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
c_f144,Comune di Mereto di Tomba,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
c_f266,Comune di Moggio Udinese,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
c_f269,Comune di Mogliano Veneto,Pubbliche Amministrazioni,Angular,"React,jQuery",,Bootstrap Italia,medium,10,0,11
c_f275,Comune di Moimacco,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
c_f356,Comune di Monfalcone,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
c_f486,Comune di Monte di Malo,Pubbliche Amministrazioni,Angular,"React,jQuery",,Bootstrap Italia,medium,10,0,11
c_f508,Comune di Monteforte D'Alpone,Pubbliche Amministrazioni,Angular,"React,jQuery",,Bootstrap Italia,medium,10,0,11
